title,description,genre
Lethal Remedy,"What happens when the race to stop a lethal bacteria becomes a race to stop a killer? Dr. Sara Miles' teenage patient is on the brink of death from an overwhelming, highly resistant infection with Staph luciferus, known to doctors as ""the killer."" Only an experimental antibiotic, developed and administered by Sara's ex-husband can save the girl's life. But potentially lethal effects from the drug send Sara and her colleague, Dr. Rip Pearson, on a hunt for hidden critical data that will let them reverse the effects before it's too late. What is the missing puzzle piece? And who is hiding it? ""A fast-paced inspirational medical thriller that will hold you spellbound."" - FreshFiction.com ""Lethal Remedy boasts a gripping medical plot that only an insider could write so believably... Dr. Mabry takes his knowledge of the medical profession, combines it with a ticking clock, and gives the reader a problem we'd all be terrified to face. What more could the reader of a good medical suspense ask for?"" --Susan Sleeman, author of Behind The Badge and The Justice Agency series ""Lethal Remedy is the perfect cure for boredom: a first-rate medical thriller with humor, engaging characters, and realism that only a seasoned doctor could bring to the story."" --Rick Acker, author of When the Devil Whistles and Blood Brothers",science fiction
Point of Connection,"What commences as a routine profile background investigation evolves into a sinister plot to alter the course of the free world. The premiere book in this series, SAID THE SPIDER, was only the beginning of the true to life adventures and experiences of Dan Jamieson and his team of novel, colorful and experienced investigators. Again the Jamieson Investigative Agency becomes immersed in a clandestine and decades old scheme of complete and total dominance by ruthless, clever and relentless enemies eager to satisfy what has become to them their eventual POINT OF CONNECTION to a one-world supreme authority. The adversaries cult-like dedication and years of trial and error are now on the verge of reaping the rewards they so desire. Undercover government operations during the turmoil of the 1960s suddenly collides with the deadly consequences of today making this a must read for anyone who enjoys an authentic mystery novel.",science fiction
Body Heat,"The sizzling reader-favorite tale in book four of New York Times bestselling author Carly Phillips's Simply series Night after night, Brianne Nelson has fantasized about the sexy stranger she met at the café where she works part-time. Never in her wildest dreams did she imagine that he'd turn out to be a client for her “real” job as a physical therapist—or how much better Jake would look with his clothes off! Thanks to his wealthy sister, injured detective Jake Lowell is the recipient of Brianne's personal services for the next month. Determined to get well enough to go after the guy who shot him, Jake is in desperate need of Brianne's healing touch. But when the “therapy” sessions evolve into something a little steamier, Jake and Brianne are in for a reality that makes their hottest fantasies look like child's play.",science fiction
The Texan's Christmas,"Asking for a favor from a woman scorned isn't Cisco ""Kid"" Hardin's smartest move. But he needs Lucinda ""Lucky"" Littlefield's land for his oil company. Surely enough time has passed since he left her—and his promises—behind? Apparently not, because Lucky still holds a lot of resentment. Then Kid learns of the baby Lucky lost—their baby—and he's determined to right his wrongs. He needs to prove he's a man worthy of her love and trust. And he plans to do it by transforming his sins of the past into the most glorious holiday season she has ever seen.",science fiction
Barbary Shore,"Published at the height of the McCarthy era, Norman Mailer's audacious novel of socialismis at once an elegy and an indictment, a sinuous moral thriller and an intellectual slugfest. Wounded during World War II, Mike Lovett is an amnesiac, and much of his past is a secret to himself. But when Lovett rents a room in Brooklyn, he finds that his housemates have secrets of their own: One betrays a husband no one ever sees; another may have been a Communist executioner. Combining Kafkaesque unease with Orwellian paranoia,Barbary Shore plays havoc with our certainties and delivers its effects with a force that is pure Mailer. Praise for Barbary Shore “A work of remarkable power, of amazing penetration, both into people and the determining forces of American life.”—The Atlantic Monthly “Vibrant with life, abundant with real people . . . [Mailer has] a scintillating skill in observation, a mature sense of meaning.”—The Philadelphia Inquirer “This book is nothing short of amazing.”—Newsweek “Barbary Shore [is] about the kind of country—and what you might call the psychic territory—that American war heroes were returning to.”—The Guardian Praise for Norman Mailer “[Norman Mailer] loomed over American letters longer and larger than any other writer of his generation.”—The New York Times “A writer of the greatest and most reckless talent.”—The New Yorker “Mailer is indispensable, an American treasure.”—The Washington Post “A devastatingly alive and original creative mind.”—Life “Mailer is fierce, courageous, and reckless and nearly everything he writes has sections of headlong brilliance.”—The New York Review of Books “The largest mind and imagination [in modern] American literature . . . Unlike just about every American writer since Henry James, Mailer has managed to grow and become richer in wisdom with each new book.”—Chicago Tribune “Mailer is a master of his craft. His language carries you through the story like a leaf on a stream.”—The Cincinnati Post",science fiction
Turbulent Sea,"When her life is threatened while on tour, rock-and-roll superstar Joley Drake, who was born with a legacy of magical gifts, turns to bodyguard Ilya Prakenskii, a dangerously sexy man with ties to the Russian mob, for protection.",science fiction
Lock Every Door,"THE INSTANT NEW YORK TIMES BESTSELLER One of . . . Parade’s “Most Anticipated Books of Summer 2019"" • PureWow’s “The Best Beach Reads of Summer 2019” • BookBub’s “Books That Will Make the Perfect Addition to Your Beach Bag This Summer” The next heart-pounding thriller from New York Times bestselling author Riley Sager follows a young woman whose new job apartment sitting in one of New York’s oldest and most glamorous buildings may cost more than it pays No visitors. No nights spent away from the apartment. No disturbing the other residents, all of whom are rich or famous or both. These are the only rules for Jules Larsen’s new job as an apartment sitter at the Bartholomew, one of Manhattan's most high-profile and mysterious buildings. Recently heartbroken and just plain broke, Jules is taken in by the splendor of her surroundings and accepts the terms, ready to leave her past life behind. As she gets to know the residents and staff of the Bartholomew, Jules finds herself drawn to fellow apartment sitter Ingrid, who comfortingly reminds her of the sister she lost eight years ago. When Ingrid confides that the Bartholomew is not what it seems and the dark history hidden beneath its gleaming facade is starting to frighten her, Jules brushes it off as a harmless ghost story . . . until the next day, when Ingrid disappears. Searching for the truth about Ingrid’s disappearance, Jules digs deeper into the Bartholomew's sordid past and into the secrets kept within its walls. What she discovers pits Jules against the clock as she races to unmask a killer, expose the building’s hidden past, and escape the Bartholomew before her temporary status becomes permanent.",science fiction
The Unhoneymooners,"THE INSTANT NEW YORK TIMES BESTSELLER! Starred reviews from Kirkus Reviews * Publishers Weekly * Library Journal Named a “Must-Read” by TODAY, Us Weekly, Bustle, BuzzFeed, Goodreads, Entertainment Weekly, Publishers Weekly, Southern Living, Book Riot, Woman’s Day, The Toronto Star, and more! For two sworn enemies, anything can happen during the Hawaiian trip of a lifetime—maybe even love—in this romantic comedy from the New York Times bestselling authors of Roomies. Olive Torres is used to being the unlucky twin: from inexplicable mishaps to a recent layoff, her life seems to be almost comically jinxed. By contrast, her sister Ami is an eternal champion . . . she even managed to finance her entire wedding by winning a slew of contests. Unfortunately for Olive, the only thing worse than constant bad luck is having to spend the wedding day with the best man (and her nemesis), Ethan Thomas. Olive braces herself for wedding hell, determined to put on a brave face, but when the entire wedding party gets food poisoning, the only people who aren’t affected are Olive and Ethan. Suddenly there’s a free honeymoon up for grabs, and Olive will be damned if Ethan gets to enjoy paradise solo. Agreeing to a temporary truce, the pair head for Maui. After all, ten days of bliss is worth having to assume the role of loving newlyweds, right? But the weird thing is . . . Olive doesn’t mind playing pretend. In fact, the more she pretends to be the luckiest woman alive, the more it feels like she might be. With Christina Lauren’s “uniquely hilarious and touching voice” (Entertainment Weekly), The Unhoneymooners is a romance for anyone who has ever felt unlucky in love.",science fiction
The Invited,"A chilling ghost story with a twist: the New York Times bestselling author of The Winter People returns to the woods of Vermont to tell the story of a husband and wife who don't simply move into a haunted house, they start building one from scratch, without knowing it, until it's too late . . . In a quest for a simpler life, Helen and Nate abandon the comforts of suburbia and their teaching jobs to take up residence on forty-four acres of rural land where they will begin the ultimate, aspirational do-it-yourself project: building the house of their dreams. When they discover that this charming property has a dark and violent past, Helen, a former history teacher, becomes consumed by the legend of Hattie Breckenridge, a woman who lived and died there a century ago. As Helen starts carefully sourcing decorative building materials for her home--wooden beams, mantles, historic bricks--she starts to unearth, and literally conjure, the tragic lives of Hattie's descendants, three generations of ""Breckenridge women,"" each of whom died amidst suspicion, and who seem to still be seeking something precious and elusive in the present day.",science fiction
Before the Fall,"Winner of the 2017 EDGAR AWARD FOR BEST NOVEL and the 2017 INTERNATIONAL THRILLER WRITERS AWARD FOR BEST NOVEL FROM THE AWARD-WINNING CREATOR OF FARGO COMES ""ONE THE YEAR'S BEST SUSPENSE NOVELS"" (NEW YORK TIMES). On a foggy summer night, eleven people--ten privileged, one down-on-his-luck painter--depart Martha's Vineyard on a private jet headed for New York. Sixteen minutes later, the unthinkable happens: the plane plunges into the ocean. The only survivors are the painter Scott Burroughs and a four-year-old boy, who is now the last remaining member of an immensely wealthy and powerful media mogul's family. Was it by chance that so many influential people perished? Or was something more sinister at work? A storm of media attention brings Scott fame that quickly morphs into notoriety and accusations, and he scrambles to salvage truth from the wreckage. Amid trauma and chaos, the fragile relationship between Scott and the young boy grows and glows at the heart of this stunning novel, raising questions of fate, morality, and the inextricable ties that bind us together. Kristin Hannah raves, ""Noah Hawley really knows how to keep a reader turning the pages... a complex, compulsively readable thrill ride of a novel.""",science fiction
Darth Plagueis: Star Wars Legends,"He was the most powerful Sith lord who ever lived. But could he be the only one who never died? “Did you ever hear the Tragedy of Darth Plagueis the Wise? It’s a Sith legend. Darth Plagueis was a Dark Lord of the Sith, so powerful and so wise that he could use the Force to influence the midi-chlorians to create life. He had such a knowledge of the dark side that he could even keep the ones he cared about from dying.” —Supreme Chancellor Palpatine, Star Wars: Episode III Revenge of the Sith Darth Plagueis: one of the most brilliant Sith Lords who ever lived. Possessing power is all he desires. Losing it is the only thing he fears. As an apprentice, he embraces the ruthless ways of the Sith. And when the time is right, he destroys his Master—but vows never to suffer the same fate. For like no other disciple of the dark side, Darth Plagueis learns to command the ultimate power . . . over life and death. Darth Sidious: Plagueis’s chosen apprentice. Under the guidance of his Master, he secretly studies the ways of the Sith, while publicly rising to power in the galactic government, first as Senator, then as Chancellor, and eventually as Emperor. Darth Plagueis and Darth Sidious, Master and acolyte, target the galaxy for domination—and the Jedi Order for annihilation. But can they defy the merciless Sith tradition? Or will the desire of one to rule supreme, and the dream of the other to live forever, sow the seeds of their destruction? Features a bonus section following the novel that includes a primer on the Star Wars expanded universe, and over half a dozen excerpts from some of the most popular Star Wars books of the last thirty years!",science fiction
Ficciones,"Short narratives probe man's soul to reveal his conflicting emotions, motives, and desires and his tortured struggle for salvation",science fiction
Waking Lions,"WINNER OF THE JEWISH QUARTERLY WINGATE PRIZE 10 WOMEN TO WATCH IN 2017--BookPage A New York Times Notable Book of 2017 After one night's deadly mistake, a man will go to any lengths to save his family and his reputation. Neurosurgeon Eitan Green has the perfect life--married to a beautiful police officer and father of two young boys. Then, speeding along a deserted moonlit road after an exhausting hospital shift, he hits someone. Seeing that the man, an African migrant, is beyond help, he flees the scene. When the victim's widow knocks at Eitan's door the next day, holding his wallet and divulging that she knows what happened, Eitan discovers that her price for silence is not money. It is something else entirely, something that will shatter Eitan's safe existence and take him into a world of secrets and lies he could never have anticipated. WAKING LIONS is a gripping, suspenseful, and morally devastating drama of guilt and survival, shame and desire from a remarkable young author on the rise.",science fiction
A Long Petal of the Sea,"From the New York Times bestselling author of The House of the Spirits, this epic novel spanning decades and crossing continents follows two young people as they flee the aftermath of the Spanish Civil War in search of a place to call home. “One of the most richly imagined portrayals of the Spanish Civil War to date, and one of the strongest and most affecting works in [Isabel Allende’s] long career.”—The New York Times Book Review In the late 1930s, civil war grips Spain. When General Franco and his Fascists succeed in overthrowing the government, hundreds of thousands are forced to flee in a treacherous journey over the mountains to the French border. Among them is Roser, a pregnant young widow, who finds her life intertwined with that of Victor Dalmau, an army doctor and the brother of her deceased love. In order to survive, the two must unite in a marriage neither of them desires. Together with two thousand other refugees, they embark on the SS Winnipeg, a ship chartered by the poet Pablo Neruda, to Chile: “the long petal of sea and wine and snow.” As unlikely partners, they embrace exile as the rest of Europe erupts in world war. Starting over on a new continent, their trials are just beginning, and over the course of their lives, they will face trial after trial. But they will also find joy as they patiently await the day when they will be exiles no more. Through it all, their hope of returning to Spain keeps them going. Destined to witness the battle between freedom and repression as it plays out across the world, Roser and Victor will find that home might have been closer than they thought all along. A masterful work of historical fiction about hope, exile, and belonging, A Long Petal of the Sea shows Isabel Allende at the height of her powers. Praise for A Long Petal of the Sea “Both an intimate look at the relationship between one man and one woman and an epic story of love, war, family, and the search for home, this gorgeous novel, like all the best novels, transports the reader to another time and place, and also sheds light on the way we live now.”—J. Courtney Sullivan, author of Saints for All Occasions “This is a novel not just for those of us who have been Allende fans for decades, but also for those who are brand-new to her work: What a joy it must be to come upon Allende for the first time. She knows that all stories are love stories, and the greatest love stories are told by time.”—Colum McCann, National Book Award–winning author of Let the Great World Spin",science fiction
Spy,"NEW YORK TIMES BESTSELLER • A young woman is caught up in a dangerous double life on behalf of her country during World War II in Danielle Steel’s thrilling new novel. At eighteen, Alexandra Wickham is presented to King George V and Queen Mary in an exquisite white lace and satin dress her mother has ordered from Paris. With her delicate blond looks, she is a stunning beauty who seems destined for a privileged life. But fate, a world war, and her own quietly rebellious personality lead her down a different path. By 1939, Europe is on fire and England is at war. From her home in idyllic Hampshire, Alex makes her way to London as a volunteer in the First Aid Nursing Yeomanry. But she has skills that draw the attention of another branch of the service. Fluent in French and German, she would make the perfect secret agent. Within a year, Alex is shocking her family in trousers and bright red lipstick. They must never know about the work she does—no one can know, not even the pilot she falls in love with. While her country and those dearest to her pay the terrible price of war, Alex learns the art of espionage, leading to life-and-death missions behind enemy lines and a long career as a spy in exotic places and historic times. Spy follows Alex’s extraordinary adventures in World War II and afterward in India, Pakistan, Morocco, Hong Kong, Moscow, and Washington, D.C., when her husband, Richard, enters the foreign service and both become witnesses to a rapidly changing world from post-war to Cold War. She lives life on the edge, with a secret she must always keep hidden.",science fiction
Lanny,"From the award-winning author of Grief is the Thing with Feathers comes a dark, playful, propulsive novel about an ethereal young boy who attracts the attention of a mythical, menacing force. There's a village an hour from London. It's no different from many others today: one pub, one church, red-brick cottages, some public housing, and a few larger houses dotted about. Voices rise up, as they might anywhere, speaking of loving and needing and working and dying and walking the dogs. This village belongs to the people who live in it, to the land and to the land's past. It also belongs to Dead Papa Toothwort, a fabled figure local schoolchildren used to draw green and leafy, choked by tendrils growing out of his mouth, who awakens after a glorious nap. He is listening to this twenty-first-century village, to its symphony of talk: drunken confessions, gossip traded on the street corner, fretful conversations in living rooms. He is listening, intently, for a mischievous, enchanting boy whose parents have recently made the village their home. Lanny. With Lanny, Max Porter extends the potent and magical space he created in Grief Is the Thing with Feathers. This brilliant novel will enrapture readers with its anarchic energy, with its bewitching tapestry of fabulism and domestic drama. Lanny is a ringing defense of creativity, spirit, and the generative forces that often seem under assault in the contemporary world, and it solidifies Porter's reputation as one of the most daring and sensitive writers of his generation.",science fiction
"Konosuba: God's Blessing on This Wonderful World!, Vol. 1 (light novel)","Game loving shut-in Kazuma Sato's life as a young schoolboy in Japan abruptly comes to an early end...or at least it was supposed to. When he opens his eyes, though, he sees a beautiful goddess that offers him a once in an after-lifetime chance to be reborn in a parallel world. The catch is that the world is violent and threatened by a growing evil! Fortunately, he can choose any one thing to bring with him. So he chooses the goddess, Aqua! And so his adventure with his gorgeous companion begins--if he could just get enough money and food to survive, keep his goddess out of trouble, and avoid grabbing the attention of the Demon King's army!",science fiction
The Great Gatsby,"A young man newly rich tries to recapture the past and win back his former love, despite the fact that she has married",science fiction
