title,description,genre
The Limpopo Academy of Private Detection,"In Botswana, Precious's assistant detective Grace's new husband Phuti suggests Academy name to Clovis Andersen, visiting author of their constant reference  Their three puzzles are: mechanic apprentice Fanwell fixes stolen car, board member Ditso fires orphan mother Potokwane, and Phuti's builder is bankrupt, yet builds himself the best ",mystery
The Saturday Big Tent Wedding Party,"At a remote cattle post south of Gaborone two cows have been killed, and Precious Ramotswe, Botswanas No  1 Lady Detective, is hired by fearful client, himself a suspect  She and secretary Grace Makutsi, wooed by Phuti Radiphuti, both see her old white van  Mr J L B  Matekonis apprentice runs away under pressure to wed  Violet Sephotho runs for the Botswana Parliament ",mystery
The Perfect Mother,"An addictive psychological thriller about a group of women whose lives become unexpectedly connected when one of their newborns goes missing They call themselves the May Mothersa collection of new moms who gave birth in the same month  Twice a week, with strollers in tow, they get together in Prospect Park, seeking refuge from the isolation of new motherhood; sharing the fears, joys, and anxieties of their new child-centered lives When the groups members agree to meet for drinks at a hip local bar, they have in mind a casual evening of fun, a brief break from their daily routine  But on this sultry Fourth of July night during the hottest summer in Brooklyns history, something goes terrifyingly wrong: one of the babies is abducted from his crib  Winnie, a single mom, was reluctant to leave six-week-old Midas with a babysitter, but the May Mothers insisted that everything would be fine  Now Midas is missing, the police are asking disturbing questions, and Winnies very private life has become fodder for a ravenous media Though none of the other members in the group are close to the reserved Winnie, three of them will go to increasingly risky lengths to help her find her son  And as the police bungle the investigation and the media begin to scrutinize the mothers in the days that follow, damaging secrets are exposed, marriages are tested, and friendships are formed and fractured ",mystery
The Shape Shifter,"Since his retirement from the Navajo Tribal Police, Joe Leaphorn has occasionally been enticed to return to work by former colleagues who seek his help when they need to solve a particularly puzzling crime  They ask because Leaphorn, aided by officers Jim Chee and Bernie Manuelito, always delivers But this time the problem is with an old case of Joe's--his ""last case,"" unsolved, is one that continues to haunt him  And with Chee and Bernie just back from their honeymoon, Leaphorn is pretty much on his own The original case involved a priceless, one-of-a-kind Navajo rug supposedly destroyed in a fire  Suddenly, what looks like the same rug turns up in a magazine spread  And the man who brings the photo to Leaphorn's attention has gone missing  Leaphorn must pick up the threads of a crime he'd thought impossible to untangle  Not only has the passage of time obscured the details, but it also appears that there's a murderer still on the loose ",mystery
The Coffin Dancer,"SOON TO BE A MAJOR TELEVISION EVENT FROM NBC, STARRING RUSSELL HORNSBY, ARIELLE KEBBEL, AND MICHAEL IMPERIOLI  They have only one clue: the madman has a tattoo of the Grim Reaper waltzing with a woman in front of a coffin",mystery
Where Serpents Sleep,"London, 1812  The brutal slaughter of eight young prostitutes in a house of refuge near Covent Garden leaves only one survivor- and one witness: Hero Jarvis, reform-minded daughter of the Prince Regent's cousin, Lord Jarvis  When the Machiavellian powerbroker quashes any official inquiry that might reveal his daughter's unorthodox presence, Hero launches an investigation of her own and turns to Sebastian St  Cyr, Viscount Devlin, for help  Working in an uneasy alliance, Hero and Sebastian follow a trail of clues leading from the seedy brothels and docksides of London's East End to the Mayfair mansions of a noble family with dark secrets to hide  Risking both their lives and their reputations, the two must race against time to stop a killer whose ominous plot threatens to shake the nation to its very core ",mystery
I Am Pilgrim,"A breakneck race against time   and an implacable enemy  An anonymous young woman murdered in a run-down hotel, all identifying characteristics dissolved by acid  A father publicly beheaded in the blistering heat of a Saudi Arabian public square  A notorious Syrian biotech expert found eyeless in a Damascus junkyard  Smoldering human remains on a remote mountainside in Afghanistan  A flawless plot to commit an appalling crime against humanity  One path links them all, and only one man can make the journey  Pilgrim '",mystery
Plum Island,"The hair-raising suspense of The General's Daughter    the wry wit of The Gold Coast   Wounded in the line of duty, NYPD homicide cop John Corey is convalescing in rural eastern Long Island when an attractive young couple he knows is found shot to death on the family patio    ",mystery
The Case for Jamie,"Its been a year since the shocking death of August Moriarty, and Jamie and Charlotte havent spoken Jamie is going through the motions at Sherringford, trying to finish his senior year without incident, with a nice girlfriend he cant seem to fall for Charlotte is on the run, from Lucien Moriarty and from her own mistakes  No one has seen her since that fateful night on the lawn in Sussexand Charlotte wants it that way  She knows she isnt safe to be around  She knows her Watson cant forgive her Holmes and Watson may not be looking to reconcile, but when strange things start happening, its clear that someone wants the team back together  Someone who has been quietly observing them both  Making plans  Biding their time Someone who wants to see one of them suffer and the other one dead ",mystery
Medicus,"  Gaius Petrius Ruso is a divorced and down-on his luck army doctor who has made the rash decision to seek his fortune in an inclement outpost of the Roman Empire, namely Britannia  His arrival in Deva (more commonly known as Chester, England) does little to improve his mood, and after a straight thirty six hour shift at the army hospital, he succumbs to a moment of weakness and rescues an injured slave girl, Tilla, from the hands of her abusive owner  Now he has a new problem: a slave who won't talk and can't cook, and drags trouble in her wake  Before he knows it, Ruso is caught in the middle of an investigation into the deaths of prostitutes working out of the local bar  A few years earlier, after he rescued Emperor Trajan from an earthquake in Antioch, Ruso seemed headed for glory: now he's living among heathens in a vermin-infested bachelor pad and must summon all his forensic knowledge to find a killer who may be after him next   Who are the true barbarians, the conquered or the conquerors? It's up to Rusocertainly the most likeable sleuth to come out of the Roman Empireto discover the truth ",mystery
