title,description,genre
wuthering heights, this edition uses the authoritative clarendon text and in a new introduction patsy stoneman considers the bewildering variety of critical interpretations to which the novel has been subject as well as offering some provocative new insights for the modern reader ,romance
the age of innocence,pulitzer prize winning story of the manners and morals of new york society in the later 1800's focusing on a handsome young lawyer who cannot decide between passion and propriety in his women ,romance
riders of the purple sage,mormon elders in the town of cottonwoods pressure the widow jane withersteen to remarry so that her lands and herds will remain in their control  gradually they frighten away most of her cowboys and rustlers steal away her cattle but the gunfighter lassiter stands by her as the inevitable confrontation draws near ,romance
devil's cub,intelligent practical mary challoner knew wicked dominic alastair marquis of vidal wouldn't marry her sister despite her mother's matchmaking schemes  so mary coolly prepared to protect her sister by deceiving vidal  but she certainly hadn't expected the infuriated nobleman to kidnap her reluctantly awakening to his responsibility and realizing just how serious mary was about her virtue vidal proposed marriage   but after all the carefully laid wedding plots he'd dodged vidal had never expected to be refused by a chit baffled bewitched and frustratingly tempted vidal swore that mary would be his wife  even if it was the last thing either of them ever did p  [4] of cover ,romance
pleasure,how realistic is it to believe that one lover can satisify a woman's every fantasy nia has it all and is driven by the desire for more ,romance
burn,when jenner redwine wins the lottery she never imagined how much it would cost her   luckily she finds an ally and a guide to the rarefied realm of privilege in a shy kind hearted heiress who invites jenner on a charity cruise   but what should have been a love boat cruise suddenly turns into a game of dizzying intrigue and harrowing danger and jenner finds herself taken hostage by a menacing stranger a stranger that helps her rediscover feelings she hasn't had in years   now if she can only survive to live a life worth living     ,romance
joy street,a young woman brought up in a brahmin family [boston elite members of boston's traditional old upper class] on beacon hill falls in love with a man from a very different background and the destiny of a conservative bostonian couple is changed by italian irish and jewish law partners ,romance
white mughals,james achilles kirkpatrick was the british resident at the court of the nizam of hyderabad when in 1798 he glimpsed khair un nissa  most excellent among women  the great niece of the nizam's prime minister and a direct descendant of the prophet  kirkpatrick had gone to india as an ambitious soldier in the army of the east india company eager to make his name in the conquest and subjection of the subcontinent  instead he fell in love with khair and overcame many obstacles  not the least of which was the fact that she was locked away in purdah and engaged to a local nobleman  to marry her  eventually while remaining resident kirkpatrick converted to islam and according to indian sources even became a double agent working for the hyderabadis against the east india company  it is a remarkable story involving secret assignations court intrigue harem politics religious disputes and espionage  book jacket,romance
dreamfever,he has stolen her past but mackayla will never allow her sister's murderer to take her future  yet even the uniquely gifted sidhe seer is no match for the lord master who has unleashed an insatiable sexual craving that consumes mac's every thought  and thrusts her into the seductive realm of two very dangerous men both of whom she desires but dares not trust  as the enigmatic jericho barrons and the sensual fae prince v'lane vie for her body and soul as cryptic entries from her sister's diary mysteriously appear and the power of the dark book weaves its annihilating path through the city mac's greatest enemy delivers a final challenge   it's an invitation mac cannot refuse one that sends her racing home to georgia where an even darker threat awaits  with her parents missing and the lives of her loved ones under siege mac is about to come face to face with a soul shattering truth about herself and her sister about jericho barrons and about the world she thought she knew ,romance
a wrongful death,barbara holloway becomes the prime suspect in a high profile kidnapping case involving a young boy the grandson of a wealthy family who accuses barbara of aiding in his disappearance ,romance
on tall pine lake,a young woman in 1970s arkansas is charmed by the owner of a fishing camp but is wary of his potential connections to several local crimes ,romance
saint odd, odd thomas is back where it all started  because the time has come to finish it  since he left his simple life in the small town of pico mundo california his journey has taken him to places strange and wonderful mysterious and terrifying  across the land in the company of mortals and spirits alike he has known kindness and cruelty felt love and loss saved lives and taken them as he's borne witness to humanity's greatest good and darkest evil  again and again he has gone where he must and done what he had to do for better or worse with his courage and devotion sorely tested and his soul forever changed  every triumph has been hard won  each sacrifice has taken its toll  now whatever destiny drives him has finally steered his steps home where those he cares for most surround him the memory of his tragically lost true love haunts him and one last challenge vast and dreadful awaits him  for odd thomas born to serve a purpose far greater than himself the wandering is done  only the reckoning remains  publishers weekly koontz gives his character wit good humor a familiarity with the dark side of humanity and moral outrage  usa today the ultimate everyman  an avatar of hope and honor and courage for all of us the linchpin of a rollicking good tale  odd evokes the homespun wisdom of forrest gump amid the mind spinning adventures of a jack bauer  bookpage there's never anything predictable about an odd thomas adventure  booklist the nice young fry cook with the occult powers is [koontz's] most likable creation  candid upright amusing and sometimes withering  mix of suspense whimsy and uplift  the washington post heartfelt and provocative  a wonderfully rich and entertaining story  chicago sun times two years after the cataclysmic events that sent him journeying into mystery odd thomas the intrepid fry cook who sees the dead and tries to help them has traveled full circle back to his beloved home town of pico mundo and the people he loves  he has come to save them and perhaps humanity from the full flowering of evil it is his destiny to confront as he draws ever closer to the truth of the world and his place in it  stronger wiser than he started and with the help of the friends he has made along the way odd prepares to confront the terrible forces arrayed against him and possibly to journey still farther to his long awaited reunion with his lost love stormy llewellyn ,romance
can you keep a secret?, meet emma corrigan a young woman with a huge heart an irrepressible spirit and a few little secrets:secrets from her mother:i lost my virginity in the spare bedroom with danny nussbaum while mum and dad were downstairs watching ben hur sammy the goldfish in my parents kitchen is not the same goldfish that mum gave me to look after when she and dad were in egypt secrets from her boyfriend:i weigh one hundred and twenty eight pounds  not one eighteen like connor thinks ive always thought connor looks a bit like ken  as in barbie and ken from her colleagues:when artemis really annoys me i feed her plant orange juice  (which is pretty much every day ) it was me who jammed the copier that time  in fact all the times secrets she wouldnt share with anyone in the world:my g string is hurting me i have no idea what nato stands for  or even what it is until she spills them all to a handsome stranger on a plane  at least she thought he was a stranger but come monday morning emmas office is abuzz about the arrival of jack harper the companys elusive ceo  suddenly emma is face to face with the stranger from the plane a man who knows every single humiliating detail about her  things couldnt possibly get worseuntil they do ,romance
the choice,resisting romantic commitments while enjoying a life of boating swimming and barbecues travis parker is unable to deny his attraction to new neighbor gabby holland a defensive woman whose long time boyfriend further challenges travis' growing feelings ,romance
shopaholic and sister (shopaholic #4),returning to london after her ten month honeymoon becky bloomwood brandon finds herself depressed by a lack of money a search for a job and her best friend suze's new best friend until she discovers that she has a long lost sister ,romance
loving evangeline,evangeline shaw is the key to the conspiracy that threatens robert cannon's company  classified software developed by cannon's group is being sold to a foreign government without his approval  it isn't just theft or a case of corporate espionage  it's treason  and the trail leads straight to shaw  who by all accounts has both the means and the motives determined to handle his own investigation cannon tracks her to a small town in alabama  but as he tries to untangle the knot that surrounds her he finds himself questioning he's believed  the facts still seem pretty black and but his heart tells him she's no mata hari    ,romance
the sands of time,four nuns forced to flee their spanish convent find themselves pawns in a violent struggle between the outlawed basque movement and the spanish army ,romance
ceremony of the innocent,from the foreword:while this book is not my autobiography and ellen porter's background is not mine nor her appearance  and i was born many years later than she was born  her thoughts have been my thoughts and her experiences mine also  i have encountered many of the people in the book and have endured from them what ellen porter had endured though they are a composite picture here and so cannot be identified  many of them too are now dead so in many ways though this is a bitter book it is a true one  there is an old saying only a man can hurt himself  but only a man can hurt a woman,romance
the betsy, angelo perino lives life on the bleeding edge of speed and success a race car driver of humble origins who dominates on and off the track  loren hardeman is the ruthless patriarch of an auto empire fighting to keep his family from self destructing under the weight of its own greed and decadence  their creation threatens to disrupt the industry whose power brokers are determined to prevent it no matter the cost  this pits hardeman's own grandson the company's current ceo against him revealing the depths to which hardeman went to build his empire including murder incestuous adultery and organized crime  as the family feud escalates perino makes his move to conquer hardeman's empire as well as his great granddaughter  librarything,romance
lorena,a novel of one woman who helped convince sherman that war was hell fr cvr ,romance
vampire kisses 5,when goth girl raven follows her vampire boyfriend to hipsterville she discovers a dangerous secret club inhabited by vampires who are feuding over its leadership ,romance
