title,author,description,genre
Wuthering Heights,Emily Brontë,"First published in 1847, Wuthering Heights is set on the bleak Yorkshire moors, where the drama of Catherine and Heathcliff, Heathcliff's cruel revenge against Edgar and Isabella Linton, and the promise of redemption through the next generation, is enacted. This edition uses the authoritative Clarendon text, and in a new introduction Patsy Stoneman considers the bewildering variety of critical interpretations to which the novel has been subject, as well as offering some provocative new insights for the modern reader.",romance
The age of innocence,Edith Wharton,"Pulitzer-Prize-winning story of the manners and morals of New York society in the later 1800's, focusing on a handsome young lawyer who cannot decide between passion and propriety in his women.",romance
Riders of the purple sage,Zane Grey,"Mormon elders in the town of Cottonwoods pressure the widow Jane Withersteen to remarry so that her lands and herds will remain in their control. Gradually they frighten away most of her cowboys, and rustlers steal away her cattle, but the gunfighter Lassiter stands by her as the inevitable confrontation draws near.",romance
Devil's cub,Georgette Heyer,"""Intelligent, practical Mary Challoner knew wicked Dominic Alastair, Marquis of Vidal, wouldn't marry her sister, despite her mother's matchmaking schemes. So Mary coolly prepared to protect her sister by deceiving Vidal. But she certainly hadn't expected the infuriated nobleman to kidnap her! Reluctantly awakening to his responsibility--and realizing just how serious Mary was about her virtue--Vidal proposed marriage.  But after all the carefully laid wedding plots he'd dodged, Vidal had never expected to be refused by a chit! Baffled, bewitched and frustratingly tempted, Vidal swore that Mary would be his wife. Even if it was the last thing either of them ever did""--P. [4] of cover.",romance
Pleasure,Eric Jerome Dickey,"How realistic is it to believe that one lover can satisify a woman's every fantasy? Nia has it all-- and is driven by the desire for more. Fantasies spiral out of control, and she discovers that pleasure does not come without pain.",romance
Burn,Linda Howard,"When Jenner Redwine wins the lottery, she never imagined how much it would cost her.  Luckily she finds an ally-and a guide to the rarefied realm of privilege in a shy, kind-hearted heiress who invites Jenner on a charity cruise.  But what should have been a ""Love Boat"" cruise suddenly turns into a game of dizzying intrigue and harrowing danger, and Jenner finds herself taken hostage by a menacing stranger--a stranger that helps her rediscover feelings she hasn't had in years.  Now if she can only survive to live a life worth living ....",romance
Joy Street,Frances Parkinson Keyes,"A young woman brought up in a Brahmin family [Boston elite; members of Boston's traditional old upper class] on Beacon Hill, falls in love with a man from a very different background and the destiny of a conservative Bostonian couple is changed by Italian, Irish and Jewish law partners.",romance
White Mughals,William Dalrymple,"""James Achilles Kirkpatrick was the British Resident at the court of the Nizam of Hyderabad when in 1798 he glimpsed Khair un-Nissa - ""Most Excellent among Women"" - the great-niece of the Nizam's prime minister and a direct descendant of the Prophet. Kirkpatrick had gone to India as an ambitious soldier in the army of the East India Company, eager to make his name in the conquest and subjection of the subcontinent. Instead, he fell in love with Khair and overcame many obstacles - not the least of which was the fact that she was locked away in purdah and engaged to a local nobleman - to marry her. Eventually, while remaining Resident, Kirkpatrick converted to Islam and, according to Indian sources, even became a double agent working for the Hyderabadis against the East India Company."" ""It is a remarkable story, involving secret assignations, court intrigue, harem politics, religious disputes, and espionage. But such things were not unknown: From the sixteenth century, when the Inquisition banned the Portuguese in Goa from wearing the dhoti, to the eve of the Indian Mutiny, the ""white Mughals"" who wore local dress and adopted Indian ways were a source of difficulty and embarrassment to successive colonial administrations. William Dalrymple has unearthed such colorful figures as ""Hindoo Stuart,"" who traveled with his own team of Brahmins to maintain his templeful of idols and who spent many years trying to persuade the memsahibs of Calcutta to adopt the sari; and Sir David Ochterlony, Kirkpatrick's counterpart in Delhi, who took all thirteen of his Indian wives out for evening promenades, each on the back of her own elephant.""--BOOK JACKET",romance
Dreamfever,Karen Marie Moning,"He has stolen her past, but MacKayla will never allow her sister's murderer to take her future. Yet even the uniquely gifted sidhe-seer is no match for the Lord Master, who has unleashed an insatiable sexual craving that consumes Mac's every thought - and thrusts her into the seductive realm of two very dangerous men, both of whom she desires but dares not trust. As the enigmatic Jericho Barrons and the sensual Fae prince V'lane vie for her body and soul, as cryptic entries from her sister's diary mysteriously appear and the power of the Dark Book weaves its annihilating path through the city, Mac's greatest enemy delivers a final challenge.  It's an invitation Mac cannot refuse, one that sends her racing home to Georgia, where an even darker threat awaits. With her parents missing and the lives of her loved ones under siege, Mac is about to come face-to-face with a soul-shattering truth--about herself and her sister, about Jericho Barrons, and about the world she thought she knew.",romance
A wrongful death,Kate Wilhelm,"Barbara Holloway becomes the prime suspect in a high-profile kidnapping case involving a young boy, the grandson of a wealthy family who accuses Barbara of aiding in his disappearance.",romance
